"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_labeldeathDate","deathPlace_label","citizenship_label","nationality_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label"
"NULL","Charles Scott Sherrington","Nobel Prize in Physiology or Medicine","1857-11-27","1857-01-01T00:00:00+02:00","NULL","{England|Sussex|Eastbourne}","NULL","United Kingdom","{Royal College of Surgeons of England|Ipswich School|Gonville and Caius College Cambridge}","{Histology|Neurology|Physiology|Bacteriology|Pathology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|FullerianProfessorsOfPhysiology|GiffordLecturers|Academician109759069|AcademicsOfKing'sCollegeLondon|Acquirer109764201|Adult109605289|AlumniOfFitzwilliamCollegeCambridge|AlumniOfGonvilleAndCaiusCollegeCambridge|Alumnus109786338|Associate109816771|Biologist109855630|BritishNeuroscientists|BritishNobelLaureates|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Diagnostician110011074|Doctor110020890|Educator110045713|Golfer110136959|HeadOfState110164747|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Laureate110249011|Lector110252222|LivingThing100004258|Medalist110304914|Negotiator110351874|Neuroscientist110354580|Object100002684|Organism100004475|Peer109626238|Person100007846|Player110439851|President110467179|Professional110480253|Professor110480730|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|FellowsOfGonvilleAndCaiusCollegeCambridge|FellowsOfMagdalenCollegeOxford|FellowsOfTheRoyalSociety|MedicalPractitioner110305802|PhysicalEntity100001930|PresidentsOfTheRoyalSociety|RoyalMedalWinners|StatutoryProfessorsOfTheUniversityOfOxford|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|Pathologists|PeopleEducatedAtIpswichSchool|YagoLegalActor}"
"NULL","Theodore Roosevelt","{Medal of Honor|Nobel Peace Prize}","1858-10-27","1858-01-01T00:00:00+02:00","NULL","{Oyster Bay (hamlet) New York|Cove Neck New York}","NULL","NULL","{Harvard University|Columbia Law School}","NULL","{agent|office holder|person|owl#Thing|Person|PresidentsOfTheUnitedStates|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|GovernorsOfNewYork|HarvardUniversityAlumni|MaleOffspring110285938|Officeholder110371450|Owner110389398|U.S.PresidentsSurvivingAssassinationAttempts|UnitedStatesArmyOfficers|VicePresidentsOfTheUnitedStates|WritersFromNewYork|Acquirer109764201|Administrator109770472|Administrator109770949|Alumnus109786338|AmericanAutobiographers|AmericanConservationists|AmericanEssayists|AmericanExplorers|AmericanHistorians|AmericanHunters|AmericanNavalHistorians|AmericanNobelLaureates|AmericanPeopleOfDutchDescent|AmericanPeopleOfScotch-IrishDescent|AmericanPoliticalWriters|AmericanRanchers|ArmyOfficer109809749|Autobiographer109825296|Biographer109855433|CausalAgent100007347|Child109918248|Commissioner109943811|Communicator109610660|Creator109614315|Disputant109615465|Environmentalist110060621|Essayist110064405|Executive110069645|Explorer110072708|Farmer110078806|Governor110140314|Head110162991|HeadOfState110164747|Historian110177150|Holder110180178|Honoree110183757|Hunter110193026|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Male109624168|MilitaryOfficer110317007|Negotiator110351874|Object100002684|Official110372373|Offspring110373998|Organism100004475|Person100007846|Politician110451263|President110467179|Rancher110506417|Recipient109627906|Reformer110515194|Relative110235549|Representative110522035|Scholar110557854|Serviceman110582746|SkilledWorker110605985|Son110624074|Whole100003553|Worker109632518|Writer110794014|YagoLegalActorGeo|ColumbiaUniversityAlumni|CommissionersOfTheNewYorkCityPoliceDepartment|ExplorersOfAmazonia|PhysicalEntity100001930|VicePresident110751265|PresidentsOfTheAmericanHistoricalAssociation|RepublicanPartyPresidentsOfTheUnitedStates|RepublicanPartyStateGovernorsOfTheUnitedStates|RepublicanPartyVicePresidentsOfTheUnitedStates|SonsOfTheAmericanRevolution|NobelPeacePrizeLaureates|PeopleAssociatedWithTheBoyScoutsOfAmerica|PeopleFromLongIsland|PoliticiansWithPhysicalDisabilities|YagoLegalActor}"
"NULL","Christiaan Eijkman","Nobel Prize in Physiology or Medicine","1858-08-11","1858-01-01T00:00:00+02:00","NULL","{Netherlands|Utrecht}","NULL","Netherlands","NULL","Physiology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Adult109605289|CausalAgent100007347|Doctor110020890|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchNobelLaureates|DutchPhysicians|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromNijkerk|PeopleFromZaanstad|YagoLegalActor}"
"NULL","Pierre Curie","Nobel Prize in Physics","1859-05-15","1859-01-01T00:00:00+02:00","NULL","NULL","NULL","France","Sorbonne","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|CausalAgent100007347|Chemist109913824|Creator109614315|Honoree110183757|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|DiscoverersOfChemicalElements|FrenchChemists|FrenchNobelLaureates|FrenchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromParis|YagoLegalActor}"
"NULL","Jane Addams","Nobel Peace Prize","1860-09-06","1860-01-01T00:00:00+02:00","NULL","{Chicago|United States}","NULL","NULL","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|WomenNobelLaureates|20th-centuryPhilosophers|Acquirer109764201|Adult109605289|Advocate109774783|Alumnus109786338|AmericanNobelLaureates|AmericanPacifists|AmericanPeopleOfEnglishDescent|AmericanPhilosophers|AmericanPoliticalWriters|AmericanSocialWorkers|AmericanSociologists|Anti-povertyAdvocates|CausalAgent100007347|Communicator109610660|Disputant109615465|Employee110053808|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Militant110315837|Object100002684|Organism100004475|Organizer110383237|Pacifist110390199|Person100007846|Philosopher110423589|PublicServant110491136|Recipient109627906|Reformer110515194|Scholar110557854|Scientist110560637|SocialScientist110619642|SocialWorker110620027|Sociologist110620758|Thinker110708454|Whole100003553|Worker109632518|Writer110794014|YagoLegalActorGeo|Children'sRightsActivists|CommunityOrganizers|PhysicalEntity100001930|RockfordCollegeAlumni|NobelPeacePrizeLaureates|NonviolenceAdvocates|PeopleAssociatedWithTheAmericanCivilLibertiesUnion|PeopleFromChicagoIllinois|PeopleFromStephensonCountyIllinois|YagoLegalActor}"
"NULL","Eduard Buchner","Nobel Prize in Chemistry","1860-05-20","1860-01-01T00:00:00+02:00","NULL","{German Empire|Germany|Munich}","NULL","Germany","Ludwig Maximilian University of Munich","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanBiochemists|GermanNobelLaureates|Acquirer109764201|Biochemist109854915|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromMunich|YagoLegalActor}"
"NULL","Niels Ryberg Finsen","Nobel Prize in Physiology or Medicine","1860-12-15","1860-01-01T00:00:00+02:00","NULL","{Copenhagen|Denmark}","NULL","NULL","NULL","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Adult109605289|Aristocrat109807754|CausalAgent100007347|Doctor110020890|HealthProfessional110165109|Honoree110183757|Knight110238375|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|DanishKnights|DanishNobelLaureates|DanishPhysicians|FaroesePeople|MaleAristocrat110285135|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}"
"NULL","Willem Einthoven","Nobel Prize in Physiology or Medicine","1860-05-21","1860-01-01T00:00:00+02:00","NULL","{Netherlands|Leiden}","NULL","Netherlands","Utrecht University","Physiology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|MedicalEducators|UtrechtUniversityAlumni|Acquirer109764201|Adult109605289|Alumnus109786338|Biologist109855630|CausalAgent100007347|Creator109614315|Doctor110020890|Educator110045713|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physiologist110429965|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchInventors|DutchNobelLaureates|DutchPeopleOfSwissDescent|DutchPhysicians|DutchPhysiologists|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromSemarang|YagoLegalActor}"
"NULL","Frederick Gowland Hopkins","{Order of Merit|Nobel Prize in Physiology or Medicine|Copley Medal|Royal Medal}","1861-06-20","1861-01-01T00:00:00+02:00","NULL","{Cambridgeshire|England|Cambridge}","NULL","United Kingdom","{Guy's Hospital|King's College London}","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Academician109759069|AcademicsOfKing'sCollegeLondon|Acquirer109764201|Adult109605289|Agnostic109779124|AlumniOfKing'sCollegeLondon|AlumniOfTheUniversityOfLondonInternationalProgrammes|AlumniOfTrinityCollegeCambridge|Alumnus109786338|Associate109816771|Biochemist109854915|BritishNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Communicator109610660|Contestant109613191|Educator110045713|Golfer110136959|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Medalist110304914|Negotiator110351874|Object100002684|Organism100004475|Peer109626238|Person100007846|Player110439851|President110467179|Professional110480253|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishAgnostics|EnglishBiochemists|FellowsOfTheRoyalSociety|PhysicalEntity100001930|PresidentsOfTheBritishScienceAssociation|PresidentsOfTheRoyalSociety|RoyalMedalWinners|NobelLaureatesInPhysiologyOrMedicine|PeopleEducatedAtTheCityOfLondonSchool|PeopleFromEastbourne|YagoLegalActor}"
"NULL","Charles Édouard Guillaume","{Nobel Prize in Physics|Franklin Institute}","1861-02-15","1861-01-01T00:00:00+02:00","NULL","{Sèvres|France}","NULL","Switzerland","ETH Zurich","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|19th-centurySwissPeople|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ETHZurichAlumni|ExperimentalPhysicists|PhysicalEntity100001930|SwissNobelLaureates|SwissPhysicists|NobelLaureatesInPhysics|PeopleFromVal-de-TraversDistrict|YagoLegalActor}"
"NULL","Philipp Lenard","Nobel Prize in Physics","1862-06-07","1862-01-01T00:00:00+02:00","NULL","{Germany|Allied-occupied Germany|Lauda-Königshofen}","{Germans|Hungarians}","Carpathian Germans","Heidelberg University","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanInventors|GermanNaziPoliticians|GermanNobelLaureates|GermanPeopleOfHungarianDescent|GermanPhysicists|Hungarian-GermanPeople|HungarianInventors|HungarianNobelLaureates|HungarianPeopleOfAustrianDescent|HungarianPhysicists|HungarianScientists|19th-centuryHungarianPeople|20th-centuryGermanPeople|20th-centuryHungarianPeople|Acquirer109764201|Austro-HungarianNobelLaureates|CausalAgent100007347|Creator109614315|Honoree110183757|Inventor110214637|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Politician110451263|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|ExperimentalPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromBratislava|YagoLegalActor}"
"NULL","Allvar Gullstrand","Nobel Prize in Physiology or Medicine","1862-06-05","1862-01-01T00:00:00+02:00","NULL","{Stockholm|Sweden}","NULL","Sweden","NULL","Ophthalmology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|UppsalaUniversityAlumni|Acquirer109764201|Adult109605289|Alumnus109786338|CausalAgent100007347|Doctor110020890|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Ophthalmologist110379073|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|SwedishNobelLaureates|SwedishOphthalmologists|NobelLaureatesInPhysiologyOrMedicine|PeopleFromLandskronaMunicipality|YagoLegalActor}"
"Walther Hermann Nernst","Walther Nernst","{Franklin Medal|Nobel Prize in Chemistry}","1864-06-25","1864-01-01T00:00:00+02:00","NULL","{Nazi Germany|Niwica Żary County|Lusatia}","NULL","NULL","{Humboldt University of Berlin|University of Zurich|University of Würzburg|University of Graz}","{Physical chemistry|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanChemists|GermanNobelLaureates|InventorsOfMusicalInstruments|Acquirer109764201|CausalAgent100007347|Chemist109913824|Creator109614315|Honoree110183757|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleAssociatedWithTheUniversityOfZurich|PeopleFromWestPrussia|PhysicalChemists|YagoLegalActor}"
"Wilhelm Carl Werner Otto Fritz Franz Wien","Wilhelm Wien","Nobel Prize in Physics","1864-01-13","1864-01-01T00:00:00+02:00","NULL","{Germany|Munich|Weimar Republic}","NULL","NULL","{Humboldt University of Berlin|University of Göttingen}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanNobelLaureates|GermanPhysicists|TheoreticalPhysicists|Acquirer109764201|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromTheProvinceOfPrussia|YagoLegalActor}"
"NULL","Arthur Harden","Nobel Prize in Chemistry","1865-10-12","1865-01-01T00:00:00+02:00","NULL","{England|Bourne End Buckinghamshire}","NULL","NULL","{University of Manchester|University of Erlangen-Nuremberg}","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Associate109816771|Biochemist109854915|BritishNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishBiochemists|FellowsOfTheRoyalSociety|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleEducatedAtTettenhallCollege|PeopleFromManchester|YagoLegalActor}"
"NULL","Richard Adolf Zsigmondy","Nobel Prize in Chemistry","1865-04-01","1865-01-01T00:00:00+02:00","NULL","{Germany|Göttingen|Weimar Republic}","NULL","NULL","{Ludwig Maximilian University of Munich|Vienna University of Technology}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanPeopleOfAustrianDescent|GermanPeopleOfHungarianDescent|HungarianChemists|HungarianInventors|HungarianNobelLaureates|HungarianPhysicists|HungarianScientists|Acquirer109764201|AustrianChemists|AustrianPeopleOfHungarianDescent|CausalAgent100007347|Chemist109913824|Creator109614315|Honoree110183757|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromVienna|YagoLegalActor}"
"NULL","Charles G. Dawes","Nobel Peace Prize","1865-08-27","1865-01-01T00:00:00+02:00","NULL","{Illinois|Evanston Illinois}","NULL","NULL","{Marietta College|University of Cincinnati College of Law}","NULL","{agent|office holder|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|MariettaCollegeAlumni|UnitedStatesArmyGenerals|UnitedStatesComptrollersOfTheCurrency|VicePresidentsOfTheUnitedStates|WritersFromIllinois|WritersFromOhio|Accountant109761403|Acquirer109764201|Administrator109770949|Alumnus109786338|Ambassador109787534|AmbassadorsOfTheUnitedStatesToTheUnitedKingdom|AmericanDiplomats|AmericanNobelLaureates|Artist109812338|Businessperson109882716|Capitalist109609232|CausalAgent100007347|CommissionedMilitaryOfficer109943239|Communicator109610660|Composer109947232|Creator109614315|Diplomat110013927|Director110014939|Executive110069645|General110123844|GeneralOfficer110125786|Head110162991|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|MilitaryOfficer110317007|Musician110339966|Object100002684|Official110372373|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Serviceman110582746|SkilledWorker110605985|Songwriter110624540|Whole100003553|Worker109632518|Writer110794014|YagoLegalActorGeo|CommissionedOfficer109942970|DirectorsOfTheOfficeOfManagementAndBudget|PhysicalEntity100001930|VicePresident110751265|RepublicanPartyVicePresidentsOfTheUnitedStates|SongwritersFromIllinois|SongwritersFromOhio|NobelPeacePrizeLaureates|PeopleFromChicagoIllinois|PeopleFromMariettaOhio|YagoLegalActor}"
"NULL","Thomas Hunt Morgan","Nobel Prize in Physiology or Medicine","1866-09-25","1866-01-01T00:00:00+02:00","NULL","Pasadena California","NULL","United States","{University of Kentucky|Johns Hopkins University}","{Genetics|Embryology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JohnsHopkinsUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanBiologists|AmericanGeneticists|AmericanNobelLaureates|Biologist109855630|CausalAgent100007347|Geneticist110126424|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromLexingtonKentucky|YagoLegalActor}"
